"Image number (file name is ""IMG_18##.HEIC""",Likelihood of Failure Rating
1835,Possible 
1845,Improbable 
1847,Improbable 
1848,Improbable 
1851,Probable 
1866,Improbable 
1867,Improbable
1868,Possible 
1869,Probable 
1872,Possible 
1874,Improbable 
1876,Possible 
1877,Improbable 
1878,Possible 
1880,Possible 
1881,Probable 
1882,Possible
1883,Improbable
1884,Improbable
1885,Possible
1886,Possible
1887,Probable
1888,Improbable
1889,Improbable
1890,Probable
1891,Possible
1892,Possible
1893,Improbable
1894,Possible
1895,Improbable
1909,Improbable
1910,Improbable
1911,Probable
1912,Improbable
1913,Improbable
1971,Improbable
1972,Possible
1973,Possible
1974,Possible
1975,Probable
1977,Improbable
1978,Possible
1980,Possible
1981,Improbable
1983,Improbable
1984,Probable
1985,Possible 
1986,Possible
1988a,Probable 
1988b,Possible 
1989,Probable 
1990,Possible 
1991,Improbable 
1992,Improbable 
1993,Possible 
1994,Improbable 
1995,Probable 
1996,Possible 
1997,Improbable 
1998,Probable
1999,Probable
2001,Improbable 
2002,Improbable 
2003,Probable 
2004,Probable 
2005,Improbable 
2006,Improbable 
2007,Possible 
2008,Improbable 
2009,Probable 
2010,Possible 
2012,Possible 
2013,Improbable 
