labeled_image,preprocessed_index
c_0.jpg,validation-0
c_1.jpg,train-0
c_10.jpg,train-1
c_100.jpg,train-2
c_1000.jpg,test-0
c_1001.jpg,train-3
c_1002.jpg,train-4
c_1003.jpg,train-5
c_1004.jpg,train-6
c_1005.jpg,validation-1
c_1006.jpg,validation-2
c_1007.jpg,train-7
c_1008.jpg,train-8
c_1009.jpg,train-9
c_101.jpg,train-10
c_1010.jpg,validation-3
c_1011.jpg,test-1
c_1012.jpg,test-2
c_1013.jpg,train-11
c_1014.jpg,train-12
c_1015.jpg,train-13
c_1016.jpg,test-3
c_1017.jpg,train-14
c_1018.jpg,train-15
c_1019.jpg,train-16
c_102.jpg,train-17
c_1020.jpg,train-18
c_1021.jpg,validation-4
c_1022.jpg,test-4
c_1023.jpg,test-5
c_1024.jpg,train-19
c_1025.jpg,train-20
c_1026.jpg,validation-5
c_1027.jpg,validation-6
c_1028.jpg,validation-7
c_1029.jpg,train-21
c_103.jpg,validation-8
c_1030.jpg,test-6
c_1031.jpg,test-7
c_1032.jpg,train-22
c_1033.jpg,test-8
c_1034.jpg,validation-9
c_1035.jpg,test-9
c_1036.jpg,test-10
c_1037.jpg,train-23
c_1038.jpg,train-24
c_1039.jpg,test-11
c_104.jpg,train-25
c_1040.jpg,test-12
c_1041.jpg,train-26
c_1042.jpg,train-27
c_1043.jpg,train-28
c_1044.jpg,train-29
c_1045.jpg,train-30
c_1046.jpg,test-13
c_1047.jpg,train-31
c_1048.jpg,train-32
c_1049.jpg,test-14
c_105.jpg,validation-10
c_1050.jpg,train-33
c_1051.jpg,test-15
c_1052.jpg,train-34
c_1053.jpg,validation-11
c_1054.jpg,validation-12
c_1055.jpg,train-35
c_1056.jpg,train-36
c_1057.jpg,train-37
c_1058.jpg,train-38
c_1059.jpg,test-16
c_106.jpg,train-39
c_1060.jpg,train-40
c_1061.jpg,train-41
c_1062.jpg,train-42
c_1063.jpg,train-43
c_1064.jpg,test-17
c_1065.jpg,validation-13
c_1066.jpg,validation-14
c_1067.jpg,train-44
c_1068.jpg,train-45
c_1069.jpg,train-46
c_107.jpg,test-18
c_1070.jpg,train-47
c_1071.jpg,train-48
c_1072.jpg,test-19
c_1073.jpg,train-49
c_1074.jpg,test-20
c_1075.jpg,train-50
c_1076.jpg,test-21
c_1077.jpg,test-22
c_1078.jpg,train-51
c_1079.jpg,train-52
c_108.jpg,train-53
c_1080.jpg,train-54
c_1081.jpg,train-55
c_1082.jpg,validation-15
c_1083.jpg,train-56
c_1084.jpg,train-57
c_1085.jpg,test-23
c_1086.jpg,train-58
c_1087.jpg,test-24
c_1088.jpg,train-59
c_1089.jpg,test-25
c_109.jpg,train-60
c_1090.jpg,train-61
c_1091.jpg,train-62
c_1092.jpg,train-63
c_1093.jpg,train-64
c_1094.jpg,validation-16
c_1095.jpg,train-65
c_1096.jpg,validation-17
c_1097.jpg,validation-18
c_1098.jpg,train-66
c_1099.jpg,train-67
c_11.jpg,train-68
c_110.jpg,validation-19
c_1100.jpg,train-69
c_1101.jpg,validation-20
c_1102.jpg,test-26
c_1103.jpg,train-70
c_1104.jpg,train-71
c_1105.jpg,test-27
c_1106.jpg,test-28
c_1107.jpg,train-72
c_1108.jpg,test-29
c_1109.jpg,train-73
c_111.jpg,test-30
c_1110.jpg,test-31
c_1111.jpg,test-32
c_1112.jpg,train-74
c_1113.jpg,train-75
c_1114.jpg,train-76
c_1115.jpg,validation-21
c_1116.jpg,test-33
c_1117.jpg,test-34
c_1118.jpg,train-77
c_1119.jpg,train-78
c_112.jpg,train-79
c_1120.jpg,train-80
c_1121.jpg,test-35
c_1122.jpg,test-36
c_1123.jpg,validation-22
c_1124.jpg,train-81
c_1125.jpg,train-82
c_1126.jpg,test-37
c_1127.jpg,train-83
c_1128.jpg,train-84
c_1129.jpg,test-38
c_113.jpg,train-85
c_1130.jpg,train-86
c_1131.jpg,test-39
c_1132.jpg,test-40
c_1133.jpg,train-87
c_1134.jpg,train-88
c_1135.jpg,train-89
c_1136.jpg,train-90
c_1137.jpg,train-91
c_1138.jpg,train-92
c_1139.jpg,train-93
c_114.jpg,train-94
c_1140.jpg,validation-23
c_1141.jpg,train-95
c_1142.jpg,test-41
c_1143.jpg,train-96
c_1144.jpg,train-97
c_1145.jpg,test-42
c_1146.jpg,validation-24
c_1147.jpg,train-98
c_1148.jpg,train-99
c_1149.jpg,test-43
c_115.jpg,train-100
c_1150.jpg,test-44
c_1151.jpg,test-45
c_1152.jpg,train-101
c_1153.jpg,validation-25
c_1154.jpg,validation-26
c_1155.jpg,test-46
c_1156.jpg,test-47
c_1157.jpg,test-48
c_1158.jpg,train-102
c_1159.jpg,train-103
c_116.jpg,train-104
c_1160.jpg,test-49
c_1161.jpg,train-105
c_1162.jpg,train-106
c_1163.jpg,train-107
c_1164.jpg,train-108
c_1165.jpg,validation-27
c_1166.jpg,train-109
c_1167.jpg,validation-28
c_1168.jpg,train-110
c_1169.jpg,validation-29
c_117.jpg,test-50
c_1170.jpg,validation-30
c_1171.jpg,test-51
c_1172.jpg,validation-31
c_1173.jpg,validation-32
c_1174.jpg,train-111
c_1175.jpg,test-52
c_1176.jpg,train-112
c_1177.jpg,train-113
c_1178.jpg,train-114
c_1179.jpg,test-53
c_118.jpg,test-54
c_1180.jpg,train-115
c_1181.jpg,test-55
c_1182.jpg,validation-33
c_119.jpg,validation-34
c_12.jpg,train-116
c_120.jpg,train-117
c_121.jpg,train-118
c_122.jpg,train-119
c_123.jpg,validation-35
c_124.jpg,train-120
c_125.jpg,train-121
c_126.jpg,train-122
c_127.jpg,validation-36
c_128.jpg,validation-37
c_129.jpg,train-123
c_13.jpg,test-56
c_130.jpg,train-124
c_131.jpg,train-125
c_132.jpg,validation-38
c_133.jpg,train-126
c_134.jpg,train-127
c_135.jpg,train-128
c_136.jpg,train-129
c_137.jpg,test-57
c_138.jpg,validation-39
c_139.jpg,train-130
c_14.jpg,train-131
c_140.jpg,train-132
c_141.jpg,train-133
c_142.jpg,train-134
c_143.jpg,test-58
c_144.jpg,train-135
c_145.jpg,test-59
c_146.jpg,train-136
c_147.jpg,validation-40
c_148.jpg,validation-41
c_149.jpg,train-137
c_15.jpg,train-138
c_150.jpg,train-139
c_151.jpg,test-60
c_152.jpg,train-140
c_153.jpg,test-61
c_154.jpg,test-62
c_155.jpg,train-141
c_156.jpg,train-142
c_157.jpg,train-143
c_158.jpg,train-144
c_159.jpg,validation-42
c_16.jpg,train-145
c_160.jpg,train-146
c_161.jpg,validation-43
c_162.jpg,validation-44
c_163.jpg,validation-45
c_164.jpg,train-147
c_165.jpg,validation-46
c_166.jpg,train-148
c_167.jpg,test-63
c_168.jpg,validation-47
c_169.jpg,validation-48
c_17.jpg,train-149
c_170.jpg,test-64
c_171.jpg,train-150
c_172.jpg,test-65
c_173.jpg,train-151
c_174.jpg,train-152
c_175.jpg,train-153
c_176.jpg,validation-49
c_177.jpg,train-154
c_178.jpg,train-155
c_179.jpg,validation-50
c_18.jpg,train-156
c_180.jpg,validation-51
c_181.jpg,test-66
c_182.jpg,train-157
c_183.jpg,train-158
c_184.jpg,test-67
c_185.jpg,validation-52
c_186.jpg,train-159
c_187.jpg,train-160
c_188.jpg,train-161
c_189.jpg,train-162
c_19.jpg,train-163
c_190.jpg,train-164
c_191.jpg,train-165
c_192.jpg,train-166
c_193.jpg,validation-53
c_194.jpg,train-167
c_195.jpg,test-68
c_196.jpg,test-69
c_197.jpg,validation-54
c_198.jpg,validation-55
c_199.jpg,train-168
c_2.jpg,train-169
c_20.jpg,train-170
c_200.jpg,train-171
c_201.jpg,train-172
c_202.jpg,validation-56
c_203.jpg,test-70
c_204.jpg,train-173
c_205.jpg,train-174
c_206.jpg,train-175
c_207.jpg,train-176
c_208.jpg,train-177
c_209.jpg,train-178
c_21.jpg,test-71
c_210.jpg,train-179
c_211.jpg,train-180
c_212.jpg,train-181
c_213.jpg,test-72
c_214.jpg,train-182
c_215.jpg,train-183
c_216.jpg,train-184
c_217.jpg,validation-57
c_218.jpg,train-185
c_219.jpg,validation-58
c_22.jpg,test-73
c_220.jpg,validation-59
c_221.jpg,train-186
c_222.jpg,train-187
c_223.jpg,train-188
c_224.jpg,train-189
c_225.jpg,train-190
c_226.jpg,train-191
c_227.jpg,train-192
c_228.jpg,test-74
c_229.jpg,validation-60
c_23.jpg,validation-61
c_230.jpg,test-75
c_231.jpg,train-193
c_232.jpg,train-194
c_233.jpg,test-76
c_234.jpg,train-195
c_235.jpg,train-196
c_236.jpg,train-197
c_237.jpg,validation-62
c_238.jpg,train-198
c_239.jpg,train-199
c_24.jpg,train-200
c_240.jpg,test-77
c_241.jpg,train-201
c_242.jpg,train-202
c_243.jpg,test-78
c_244.jpg,test-79
c_245.jpg,test-80
c_246.jpg,train-203
c_247.jpg,test-81
c_248.jpg,validation-63
c_249.jpg,train-204
c_25.jpg,validation-64
c_250.jpg,train-205
c_251.jpg,train-206
c_252.jpg,train-207
c_253.jpg,train-208
c_254.jpg,train-209
c_255.jpg,train-210
c_256.jpg,train-211
c_257.jpg,train-212
c_258.jpg,train-213
c_259.jpg,train-214
c_26.jpg,validation-65
c_260.jpg,test-82
c_261.jpg,test-83
c_262.jpg,test-84
c_263.jpg,train-215
c_264.jpg,train-216
c_265.jpg,test-85
c_266.jpg,validation-66
c_267.jpg,test-86
c_268.jpg,train-217
c_269.jpg,train-218
c_27.jpg,validation-67
c_270.jpg,validation-68
c_271.jpg,validation-69
c_272.jpg,test-87
c_273.jpg,train-219
c_274.jpg,train-220
c_275.jpg,train-221
c_276.jpg,train-222
c_277.jpg,train-223
c_278.jpg,validation-70
c_279.jpg,train-224
c_28.jpg,train-225
c_280.jpg,train-226
c_281.jpg,train-227
c_282.jpg,train-228
c_283.jpg,train-229
c_284.jpg,validation-71
c_285.jpg,train-230
c_286.jpg,train-231
c_287.jpg,train-232
c_288.jpg,test-88
c_289.jpg,validation-72
c_29.jpg,train-233
c_290.jpg,train-234
c_291.jpg,train-235
c_292.jpg,test-89
c_293.jpg,validation-73
c_294.jpg,validation-74
c_295.jpg,validation-75
c_296.jpg,train-236
c_297.jpg,train-237
c_298.jpg,test-90
