Scenario,Pr_Im,Pr_Im,Pr_Im,PrPo_Im,PrPo_Im,PrPo_Im,Pr_PoIm,Pr_PoIm,Pr_PoIm,Pr_Po_Im,Pr_Po_Im,Pr_Po_Im
Resolution,189,252,336,189,252,336,189,252,336,189,252,336
Hyperparameters,,,,,,,,,,,,
activation_1,tanh,relu,relu,relu,tanh,relu,tanh,relu,tanh,tanh,tanh,relu
activation_2,relu,relu,tanh,relu,relu,relu,relu,tanh,tanh,relu,relu,relu
dropout_1,0.25,0.1,0.4,0.1,0.05,0.05,0.25,0.05,0.45,0.25,0.25,0.1
dropout_2,0.35000000000000003,0.30000000000000004,0.25,0.30000000000000004,0.25,0.0,0.35000000000000003,0.30000000000000004,0.2,0.35000000000000003,0.35000000000000003,0.30000000000000004
kernel_size,5,7,7,7,7,5,5,5,7,5,5,7
learning_rate,0.00010913747652406281,0.0001029562160619873,0.00014000006471192848,0.0001029562160619873,0.0001428379365495633,0.003098269932407016,0.00010913747652406281,0.008316141310476274,0.0059813601265436955,0.00010913747652406281,0.00010913747652406281,0.0001029562160619873
tuner/trial_id,,,,,049b4d982ec2ff856e1fbda515781b84,,,b0835ffcd4a330b67bde5170d57755d6,,,,
units_1,384,480,288,480,384,64,384,192,288,384,384,480
units_2,256,448,352,448,352,288,256,224,192,256,256,448
