Scenario,Hyperparameters,189,252,336,Order,Scenario Order
Pr_Im,kernel_size,7,5,7,1,1
Pr_Im,activation_1,tanh,relu,relu,2,1
Pr_Im,activation_2,tanh,tanh,tanh,3,1
Pr_Im,dropout_1,0.2,0.1,0.25,4,1
Pr_Im,dropout_2,0.05,0.4,0.3,5,1
Pr_Im,units_1,96,64,128,6,1
Pr_Im,units_2,320,512,320,7,1
Pr_Im,learning_rate,0.00902207941521,0.003686469542052,0.000175822328104,8,1
PrPo_Im,kernel_size,5,5,7,1,2
PrPo_Im,activation_1,relu,relu,relu,2,2
PrPo_Im,activation_2,relu,relu,relu,3,2
PrPo_Im,dropout_1,0.4,0.4,0.1,4,2
PrPo_Im,dropout_2,0.35,0.35,0.3,5,2
PrPo_Im,units_1,416,416,480,6,2
PrPo_Im,units_2,416,416,448,7,2
PrPo_Im,learning_rate,0.005675735825719,0.005675735825719,0.000102956216062,8,2
Pr_PoIm,kernel_size,5,5,7,1,3
Pr_PoIm,activation_1,relu,relu,relu,2,3
Pr_PoIm,activation_2,tanh,tanh,relu,3,3
Pr_PoIm,dropout_1,0.1,0.1,0.1,4,3
Pr_PoIm,dropout_2,0.3,0.4,0.3,5,3
Pr_PoIm,units_1,480,64,480,6,3
Pr_PoIm,units_2,160,512,448,7,3
Pr_PoIm,learning_rate,0.000284061070097,0.003686469542052,0.000102956216062,8,3
Pr_Po_Im,kernel_size,5,5,5,1,4
Pr_Po_Im,activation_1,tanh,tanh,tanh,2,4
Pr_Po_Im,activation_2,relu,relu,relu,3,4
Pr_Po_Im,dropout_1,0.25,0.25,0.25,4,4
Pr_Po_Im,dropout_2,0.35,0.35,0.35,5,4
Pr_Po_Im,units_1,384,384,384,6,4
Pr_Po_Im,units_2,256,256,256,7,4
Pr_Po_Im,learning_rate,0.000109137476524,0.000109137476524,0.000109137476524,8,4
