Scenario,Hyperparameters,189,252,336
PrPo_Im,activation_1,relu,relu,relu
PrPo_Im,activation_2,relu,relu,relu
PrPo_Im,dropout_1,0.4,0.4,0.1
PrPo_Im,dropout_2,0.35000000000000003,0.35000000000000003,0.30000000000000004
PrPo_Im,kernel_size,5,5,7
PrPo_Im,learning_rate,0.005675735825719095,0.005675735825719095,0.0001029562160619873
PrPo_Im,units_1,416,416,480
PrPo_Im,units_2,416,416,448
Pr_Im,activation_1,tanh,relu,relu
Pr_Im,activation_2,tanh,tanh,tanh
Pr_Im,dropout_1,0.2,0.1,0.25
Pr_Im,dropout_2,0.05,0.4,0.30000000000000004
Pr_Im,kernel_size,7,5,7
Pr_Im,learning_rate,0.009022079415210089,0.003686469542052108,0.00017582232810420384
Pr_Im,units_1,96,64,128
Pr_Im,units_2,320,512,320
Pr_PoIm,activation_1,relu,relu,relu
Pr_PoIm,activation_2,tanh,tanh,relu
Pr_PoIm,dropout_1,0.1,0.1,0.1
Pr_PoIm,dropout_2,0.30000000000000004,0.4,0.30000000000000004
Pr_PoIm,kernel_size,5,5,7
Pr_PoIm,learning_rate,0.00028406107009737317,0.003686469542052108,0.0001029562160619873
Pr_PoIm,units_1,480,64,480
Pr_PoIm,units_2,160,512,448
Pr_Po_Im,activation_1,tanh,tanh,tanh
Pr_Po_Im,activation_2,relu,relu,relu
Pr_Po_Im,dropout_1,0.25,0.25,0.25
Pr_Po_Im,dropout_2,0.35000000000000003,0.35000000000000003,0.35000000000000003
Pr_Po_Im,kernel_size,5,5,5
Pr_Po_Im,learning_rate,0.00010913747652406281,0.00010913747652406281,0.00010913747652406281
Pr_Po_Im,units_1,384,384,384
Pr_Po_Im,units_2,256,256,256
