Scenario,Resolution 1,Resolution 2,Accuracy,F1,Recall,Precision
Pr_Im,64,128,0.42776614895930865,0.47199954467328054,0.6382831484412819,0.24340889331048568
Pr_Im,64,224,0.8105260455180447,0.9577704336525249,0.7287428613501186,0.40099401010761526
Pr_Im,128,224,0.33300503362171596,0.42144866597922565,0.7817721128716892,0.11912854865798221
PrPo_Im,64,128,0.3432135029654201,0.3346219349430929,0.2801111827536935,0.6074506091077302
PrPo_Im,64,224,0.11254297668740992,0.1532090282967943,0.299561564383213,0.1318345296778256
PrPo_Im,128,224,0.46513177881119605,0.566733068859535,0.9783458376565919,0.25357298652428406
Pr_PoIm,64,128,0.006931862032541625,0.037835844465126084,0.13945820322145497,0.34512916460566445
Pr_PoIm,64,224,0.8366528311944457,0.7155757403817141,0.49484108011574585,0.6972974097254292
Pr_PoIm,128,224,0.0010986156959076144,0.0002065432798694993,0.0004668962346024086,0.07623409868675676
Pr_Po_Im,64,128,0.24158678770792566,0.249616355461681,0.39138936466730095,0.3119345541224737
Pr_Po_Im,64,224,0.6771631882610674,0.9376168563264209,0.5983608475289801,0.6503309160117007
Pr_Po_Im,128,224,0.22778300330765647,0.258067699866161,0.25279118621858443,0.36672172651541163
