Resolution,Scenario 1,Scenario 2,Accuracy,F1,Recall,Precision
189,Pr_Im,PrPo_Im,1.565057332678556e-06,0.8454057427273687,0.19744397944481418,0.8813709511542158
189,Pr_Im,Pr_PoIm,4.233055189814451e-05,0.4396029378467525,0.1778078083562184,0.2029116225190383
189,Pr_Im,Pr_Po_Im,3.876525805956295e-12,4.119654180716307e-05,7.98500125403834e-07,0.1378799639714063
189,PrPo_Im,Pr_PoIm,2.937578659958891e-06,0.6638977689300523,0.11293678366261752,0.0685304402187846
189,PrPo_Im,Pr_Po_Im,0.21116209426241586,0.0031866225977323108,0.0001234175833934166,0.05370505361211338
189,Pr_PoIm,Pr_Po_Im,3.5518764590521373e-08,0.00045892344094536315,4.417369045000422e-05,0.48976699727849643
252,Pr_Im,PrPo_Im,7.349012609045544e-06,0.13236098442888933,0.011585802317648651,0.03311873189823993
252,Pr_Im,Pr_PoIm,1.0538276955466598e-05,0.74146992554377,0.972660054580923,0.9725830298150584
252,Pr_Im,Pr_Po_Im,4.235891204712004e-14,0.0004666517519528882,3.997396242117405e-05,0.9370671885596681
252,PrPo_Im,Pr_PoIm,6.219048111801651e-06,0.18600968147398592,0.01087809470917532,0.011348501750201974
252,PrPo_Im,Pr_Po_Im,0.10042646697059929,0.00020687478054246103,4.0325179417178694e-06,0.005585062973509685
252,Pr_PoIm,Pr_Po_Im,3.907631922758296e-09,0.0003573721703169005,4.548863197561832e-05,0.8860051811843178
336,Pr_Im,PrPo_Im,9.129202861737198e-08,0.009242299981478717,0.12320464531988354,0.17135021554708832
336,Pr_Im,Pr_PoIm,0.0011533492115709566,0.12359149301345336,0.21696027233803702,0.20260924959569748
336,Pr_Im,Pr_Po_Im,8.624957503480966e-16,3.0180138677532305e-22,0.0,1.074138984252352e-22
336,PrPo_Im,Pr_PoIm,6.129843111958093e-10,0.009932168213535004,0.5326816197349578,0.7827937328017058
336,PrPo_Im,Pr_Po_Im,0.12337241234947544,5.063227273798018e-05,1.0346896131200366e-06,0.027291781311409725
336,Pr_PoIm,Pr_Po_Im,3.251804956504232e-07,0.00020141563501357035,4.034330184345613e-05,0.023397711053959803
