,,val_accuracy,val_accuracy,val_f1,val_f1,val_recall,val_recall,val_precision,val_precision
,,mean,std,mean,std,mean,std,mean,std
scenario,width,,,,,,,,
Pr_Im,189,0.86,0.0,0.48,0.02,0.51,0.01,0.63,0.28
Pr_Im,252,0.86,0.0,0.48,0.03,0.51,0.02,0.5,0.15
Pr_Im,336,0.86,0.0,0.46,0.0,0.5,0.0,0.43,0.0
PrPo_Im,189,0.7,0.01,0.49,0.08,0.54,0.04,0.61,0.15
PrPo_Im,252,0.71,0.01,0.52,0.05,0.55,0.03,0.71,0.09
PrPo_Im,336,0.69,0.0,0.42,0.02,0.51,0.01,0.62,0.26
Pr_PoIm,189,0.89,0.0,0.47,0.0,0.5,0.0,0.44,0.0
Pr_PoIm,252,0.89,0.0,0.48,0.03,0.51,0.02,0.49,0.11
Pr_PoIm,336,0.89,0.01,0.5,0.04,0.51,0.02,0.58,0.22
Pr_Po_Im,189,0.69,0.0,0.3,0.04,0.35,0.02,0.39,0.16
Pr_Po_Im,252,0.7,0.0,0.32,0.05,0.36,0.03,0.5,0.08
Pr_Po_Im,336,0.69,0.0,0.27,0.0,0.33,0.0,0.23,0.0
